Reason 1,Reason 2,Reason 3,Reason 4,Date,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
False,False,False,True,2015-07-07,7,1,289,36,33,239.554,30,0,2,1,4
False,False,False,False,2015-07-14,7,1,118,13,50,239.554,31,0,1,0,0
False,False,False,True,2015-07-15,7,2,179,51,38,239.554,31,0,0,0,2
True,False,False,False,2015-07-16,7,3,279,5,39,239.554,24,0,2,0,4
False,False,False,True,2015-07-23,7,3,289,36,33,239.554,30,0,2,1,2
False,False,False,True,2015-07-10,7,4,179,51,38,239.554,31,0,0,0,2
False,False,False,True,2015-07-17,7,4,361,52,28,239.554,27,0,1,4,8
False,False,False,True,2015-07-24,7,4,260,50,36,239.554,23,0,4,0,4
False,False,True,False,2015-07-06,7,0,155,12,34,239.554,25,0,2,0,40
False,False,False,True,2015-07-13,7,0,235,11,37,239.554,29,1,1,1,8
True,False,False,False,2015-07-20,7,0,260,50,36,239.554,23,0,4,0,8
True,False,False,False,2015-07-14,7,1,260,50,36,239.554,23,0,4,0,8
True,False,False,False,2015-07-15,7,2,260,50,36,239.554,23,0,4,0,8
True,False,False,False,2015-07-15,7,2,179,51,38,239.554,31,0,0,0,1
False,False,False,True,2015-07-15,7,2,179,51,38,239.554,31,0,0,0,4
True,False,False,False,2015-07-17,7,4,246,25,41,239.554,23,0,0,0,8
False,False,False,True,2015-07-17,7,4,179,51,38,239.554,31,0,0,0,2
False,False,True,True,2015-07-27,7,0,179,51,38,239.554,31,0,0,0,8
True,False,False,False,2015-07-30,7,3,189,29,33,239.554,25,0,2,2,8
False,False,False,True,2015-08-05,8,2,248,25,47,205.917,32,0,2,1,2
True,False,False,False,2015-08-12,8,2,330,16,28,205.917,25,1,0,0,8
True,False,False,False,2015-08-03,8,0,179,51,38,205.917,31,0,0,0,1
True,False,False,False,2015-08-10,8,0,361,52,28,205.917,27,0,1,4,40
False,False,False,True,2015-08-14,8,4,260,50,36,205.917,23,0,4,0,4
False,False,True,False,2015-08-17,8,0,289,36,33,205.917,30,0,2,1,8
False,False,False,True,2015-08-24,8,0,361,52,28,205.917,27,0,1,4,7
False,False,False,True,2015-08-04,8,1,289,36,33,205.917,30,0,2,1,1
False,False,False,True,2015-08-12,8,2,157,27,29,205.917,22,0,0,0,4
False,False,True,False,2015-08-19,8,2,289,36,33,205.917,30,0,2,1,8
False,False,False,True,2015-08-28,8,4,179,51,38,205.917,31,0,0,0,2
False,False,True,False,2015-08-17,8,0,179,51,38,205.917,31,0,0,0,8
False,False,True,False,2015-08-27,8,3,235,29,48,205.917,33,0,1,5,8
False,False,False,True,2015-08-27,8,3,235,11,37,205.917,29,1,1,1,4
False,False,True,False,2015-08-17,8,0,235,29,48,205.917,33,0,1,5,8
False,False,False,True,2015-08-17,8,0,179,51,38,205.917,31,0,0,0,2
False,False,False,True,2015-08-17,8,0,361,52,28,205.917,27,0,1,4,1
False,False,False,True,2015-08-04,8,1,289,36,33,205.917,30,0,2,1,8
True,False,False,False,2015-08-20,8,3,291,50,32,205.917,23,0,0,0,4
False,False,False,True,2015-08-21,8,4,235,29,48,205.917,33,0,1,5,8
False,False,False,True,2015-08-28,8,4,260,50,36,205.917,23,0,4,0,4
False,False,False,True,2015-09-01,9,1,184,42,27,241.476,21,0,0,0,2
False,False,False,True,2015-09-07,9,0,118,10,37,241.476,28,0,0,0,4
False,False,False,True,2015-09-01,9,1,179,51,38,241.476,31,0,0,0,4
False,False,True,False,2015-09-08,9,1,235,20,43,241.476,38,0,1,0,8
False,False,False,True,2015-09-09,9,2,155,12,34,241.476,25,0,2,0,2
False,False,False,True,2015-09-13,9,6,118,10,37,241.476,28,0,0,0,3
False,False,False,True,2015-09-14,9,0,179,51,38,241.476,31,0,0,0,3
False,False,False,True,2015-09-24,9,3,291,31,40,241.476,25,0,1,1,4
False,False,False,True,2015-09-04,9,4,260,50,36,241.476,23,0,4,0,8
True,False,False,False,2015-09-14,9,0,291,31,40,241.476,25,0,1,1,32
False,False,False,False,2015-09-21,9,0,260,50,36,241.476,23,0,4,0,0
False,False,False,False,2015-09-28,9,0,225,26,28,241.476,24,0,1,2,0
False,False,False,True,2015-09-08,9,1,225,26,28,241.476,24,0,1,2,2
False,False,False,True,2015-09-15,9,1,118,10,37,241.476,28,0,0,0,2
False,False,False,False,2015-09-22,9,1,289,36,33,241.476,30,0,2,1,0
False,False,False,False,2015-09-29,9,1,118,13,50,241.476,31,0,1,0,0
False,False,True,False,2015-09-16,9,2,225,26,28,241.476,24,0,1,2,3
False,False,False,True,2015-09-23,9,2,179,51,38,241.476,31,0,0,0,3
False,False,False,False,2015-09-30,9,2,369,17,31,241.476,25,0,3,0,0
False,False,False,True,2015-09-11,9,4,248,25,47,241.476,32,0,2,1,1
False,False,False,True,2015-09-18,9,4,179,51,38,241.476,31,0,0,0,3
False,False,False,True,2015-09-25,9,4,260,50,36,241.476,23,0,4,0,4
False,False,False,True,2015-10-06,10,1,179,51,38,253.465,31,0,0,0,3
False,False,False,True,2015-10-13,10,1,118,10,37,253.465,28,0,0,0,3
False,False,False,False,2015-10-14,10,2,118,13,50,253.465,31,0,1,0,0
False,False,False,True,2015-10-15,10,3,179,26,30,253.465,19,1,0,0,1
False,False,False,True,2015-10-16,10,4,179,51,38,253.465,31,0,0,0,3
False,False,False,True,2015-10-16,10,4,225,26,28,253.465,24,0,1,2,3
False,False,False,True,2015-10-06,10,1,118,10,37,253.465,28,0,0,0,3
False,False,False,True,2015-10-14,10,2,225,26,28,253.465,24,0,1,2,2
False,False,False,True,2015-10-21,10,2,248,25,47,253.465,32,0,2,1,2
False,False,False,True,2015-10-22,10,3,291,31,40,253.465,25,0,1,1,5
False,False,False,True,2015-10-21,10,2,179,51,38,253.465,31,0,0,0,8
False,False,False,True,2015-10-21,10,2,225,26,28,253.465,24,0,1,2,3
False,False,True,False,2015-10-22,10,3,260,50,36,253.465,23,0,4,0,16
True,False,False,False,2015-10-13,10,1,291,31,40,253.465,25,0,1,1,8
False,False,False,True,2015-10-20,10,1,225,26,28,253.465,24,0,1,2,2
False,False,False,True,2015-10-21,10,2,289,36,33,253.465,30,0,2,1,8
False,False,False,True,2015-10-23,10,4,361,52,28,253.465,27,0,1,4,1
False,False,False,True,2015-10-30,10,4,260,50,36,253.465,23,0,4,0,3
False,False,False,True,2015-11-05,11,3,179,51,38,306.345,31,0,0,0,1
False,False,False,True,2015-11-04,11,2,225,26,28,306.345,24,0,1,2,1
True,False,False,False,2015-11-05,11,3,179,51,38,306.345,31,0,0,0,8
False,False,True,True,2015-11-12,11,3,179,22,40,306.345,22,1,2,0,8
False,False,False,True,2015-11-19,11,3,291,31,40,306.345,25,0,1,1,5
True,False,False,False,2015-11-02,11,0,155,12,34,306.345,25,0,2,0,32
False,False,False,True,2015-11-09,11,0,189,29,33,306.345,25,0,2,2,8
True,False,False,False,2015-11-16,11,0,291,31,40,306.345,25,0,1,1,40
False,False,False,True,2015-11-18,11,2,225,26,28,306.345,24,0,1,2,1
True,False,False,False,2015-11-20,11,4,155,12,34,306.345,25,0,2,0,8
False,False,False,True,2015-11-18,11,2,225,26,28,306.345,24,0,1,2,3
False,False,True,True,2015-11-25,11,2,179,22,40,306.345,22,1,2,0,8
True,False,False,False,2015-11-20,11,4,225,26,28,306.345,24,0,1,2,3
False,False,False,True,2015-11-27,11,4,260,50,36,306.345,23,0,4,0,4
False,False,False,True,2015-11-02,11,0,248,25,47,306.345,32,0,2,1,1
False,False,False,True,2015-11-10,11,1,225,26,28,306.345,24,0,1,2,3
True,False,False,False,2015-11-11,11,2,289,36,33,306.345,30,0,2,1,24
False,False,False,True,2015-11-26,11,3,291,31,40,306.345,25,0,1,1,3
False,False,False,True,2015-12-01,12,1,248,25,47,261.306,32,0,2,1,1
False,False,True,False,2015-12-01,12,1,118,10,37,261.306,28,0,0,0,64
False,False,False,True,2015-12-02,12,2,118,13,50,261.306,31,0,1,0,2
False,False,False,True,2015-12-02,12,2,235,11,37,261.306,29,1,1,1,8
False,False,False,True,2015-12-03,12,3,225,26,28,261.306,24,0,1,2,2
False,False,False,True,2015-12-04,12,4,260,50,36,261.306,23,0,4,0,8
False,False,True,False,2015-12-08,12,1,118,10,37,261.306,28,0,0,0,56
False,False,False,True,2015-12-09,12,2,361,52,28,261.306,27,0,1,4,8
False,False,False,True,2015-12-10,12,3,225,26,28,261.306,24,0,1,2,3
